"name","cpu","ram","gpu","storage","screen_size","screen_resolution","screen_tech","battery","os","color","price","rating","review_text"
"MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB | Chính hãng Apple Việt Nam","CPU 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện","16GB","GPU 8 lõi
Neural Engine 16 lõi
Công nghệ dò tia tốc độ cao bằng phần cứng
Băng thông bộ nhớ 120GB/s","256GB","13.6 inches","2560 x 1664 pixels","Màn hình Liquid Retina
Có đèn nền LED
Mật độ 224 pixel mỗi inch
Độ sáng 500 nit
Hỗ trợ một tỷ màu
Dải màu rộng (P3)
Công nghệ True Tone","Thời gian xem video trực tuyến lên đến 18 giờ
Thời gian duyệt web trên mạng không dây lên đến 15 giờ
Pin Li-Po 53.8 watt‑giờ tích hợp","macOS","Xanh da trời","23.990.000₫","4.9 sao/ (16 đánh giá)","Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Máy ok. Chỉ khuyên ng mua dưdng bao h dán combo máy tại cửa hàng. Đừng nge lời hoa mỹ dán, nhân viên dán tệ, hôm trc dán hôm sau nham nhở, dễ dính dơ. Trong khi có 2-3 miếng dán hết hơn 800k || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | hiệu năng tốt, cấu hình mạnh || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Hiệu năng mượt mà, ổn định || Không || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Đã mua hàng, tốt"
"Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB I Chính hãng Apple Việt Nam","Apple M2 8 nhân","16GB","8 nhân GPU, 16 nhân Neural Engine","256GB","13.6 inches","2560 x 1664 pixels","Liquid Retina Display","52,6 Wh","MacOS","Trắng vàng","19.690.000₫","4.9 sao/ (25 đánh giá)","Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | sản phẩm cũng duoc075 đó || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Máy rất mượt nhé mọi người, bạn nhân viên vừa xinh, vừa tận tình nha❤️ || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Shop ơi, hủy giúp em đơn này nhé tháng sau em mới mua được ạ. || Tốt || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | nhân viên tư vấn nhiệt tình"
"MacBook Pro 14 M5 10CPU 10GPU 16GB 512GB | Chính hãng Apple Việt Nam","Chip Apple M5 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện","16GB","GPU 10 lõi
Neural Engine 16 lõi","512GB","14.2 inches","3024 x 1964 pixels","Liquid Retina XDR
Tỷ lệ tương phản 1.000.000:1
Độ sáng XDR 1.000 nit toàn màn hình, độ sáng đỉnh 1.600 nit (chỉ nội dung HDR)
Độ sáng SDR 1.000 nit (ngoài trời)
1 tỷ màu
Dải màu rộng (P3)
Công nghệ True Tone
Công nghệ ProMotion","Thời gian xem video trực tuyến lên đến 24 giờ
Thời gian duyệt web trên mạng không dây lên đến 16 giờ
Pin Li-Po 72.4 watt-giờ","macOS","Đen Không Gian","40.690.000₫","5 sao/ (1 đánh giá)","Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Sản phẩm bảo hành tốt"
"MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB | Chính hãng Apple Việt Nam","CPU 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện","16GB","GPU 10 lõi
Neural Engine 16 lõi
Công nghệ dò tia tốc độ cao bằng phần cứng
Băng thông bộ nhớ 120GB/s","512GB","13.6 inches","2560 x 1664 pixels","Màn hình Liquid Retina
Có đèn nền LED
Mật độ 224 pixel mỗi inch
Độ sáng 500 nit
Hỗ trợ một tỷ màu
Dải màu rộng (P3)
Công nghệ True Tone","Thời gian xem video trực tuyến lên đến 18 giờ
Thời gian duyệt web trên mạng không dây lên đến 15 giờ
Pin Li-Po 53.8 watt‑giờ tích hợp","macOS","Ánh sao","28.990.000₫","5 sao/ (3 đánh giá)","con này em SV muốn mua theo hình thức trả góp thì có được không vậy || Nhân viên nhiệt tình hỗ trợ || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | sao lâu có hàng vậy shop 😭"
"Mac mini M4 2024 10CPU 10GPU 16GB 256GB | Chính hãng Apple Việt Nam","Apple M4 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện
Neural Engine 16 lõi","16GB","GPU 10 lõi","256GB","","","Hỗ trợ đồng thời đến ba màn hình
Đầu ra video kỹ thuật số Thunderbolt 4","","macOS","Bạc","13.990.000₫","5 sao/ (9 đánh giá)","Quá Hoàn Hảo || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Ở Hải Phòng chi nhánh nào còn hàng ạ || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Tốtttttttttttttt || Cảm ơn Cellphones chuyển hàng từ tỉnh đến cửa hàng gần nhà để mình mua gấp, rất chuyên nghiệp và tận tâm 👍 || Cảm ơn Cellphones chuyển hàng từ tỉnh đến cửa hàng gần nhà để mình mua gấp, rất chuyên nghiệp và tận tâm 👍"
"MacBook Pro 14 M4 Pro 12CPU 16GPU 24GB 512GB | Chính hãng Apple Việt Nam","Apple M4 Pro 12 lõi với 8 lõi hiệu năng và 4 lõi tiết kiệm điện","24GB","16 lõi
Neural Engine 16 lõi","512GB","14.2 inches","3024 x 1964 pixels","Màn hình Liquid Retina XDR
XDR (Extreme Dynamic Range)
Độ sáng XDR: 1.000 nit ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit (chỉ nội dung HDR)
1 tỷ màu
Dải màu rộng (P3)
Công nghệ True Tone
Hỗ trợ tối đa hai màn hình ngoài","Pin Li-Po 72.4 watt-giờ
Thời gian xem video trực tuyến lên đến 22 giờ
Thời gian duyệt web trên mạng không dây lên đến 14 giờ","macOS","Bạc","49.990.000₫","4.8 sao/ (4 đánh giá)","Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Hiệu năng tốt, pin ngon, màn đẹp. || bình thường, nhân viên chưa có chuyên môn tư vấn về sản phẩm nhiều || shop nhiệt tình, thu máy cũ đổi máy mới tốt, sẽ quay lại thường xuyên 10/10"
"MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB Sạc 70W | Chính hãng Apple Việt Nam","CPU 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện","16GB","GPU 8 lõi
Neural Engine 16 lõi
Công nghệ dò tia tốc độ cao bằng phần cứng
Băng thông bộ nhớ 120GB/s","256GB","13.6 inches","2560 x 1664 pixels","Màn hình Liquid Retina
Có đèn nền LED
Mật độ 224 pixel mỗi inch
Độ sáng 500 nit
Hỗ trợ một tỷ màu
Dải màu rộng (P3)
Công nghệ True Tone","Thời gian xem video trực tuyến lên đến 18 giờ
Thời gian duyệt web trên mạng không dây lên đến 15 giờ
Pin Li-Po 53.8 watt‑giờ tích hợp","macOS","Xanh da trời","24.990.000₫","5 sao/ (1 đánh giá)","mua macbook có kèm dây sạc ko ạ"
"MacBook Pro 16 M4 Max 16CPU 40GPU 48GB 1TB | Chính hãng Apple Việt Nam","Apple M4 Max 16 lõi với 12 lõi hiệu năng và 4 lõi tiết kiệm điện","48GB","40 lõi
Neural Engine 16 lõi","1TB","16.2 inches","3456 x 2234 pixels","Màn hình Liquid Retina XDR
XDR (Extreme Dynamic Range)
Độ sáng XDR: 1.000 nit ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit (chỉ nội dung HDR)
1 tỷ màu
Dải màu rộng (P3)
Công nghệ True Tone
Hỗ trợ tối đa bốn màn hình ngoài","Pin Li-Po 100 watt-giờ
Thời gian xem video trực tuyến lên đến 21 giờ
Thời gian duyệt web trên mạng không dây lên đến 14 giờ","macOS","Đen","98.990.000₫","",""
"MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB | Chính hãng Apple Việt Nam","CPU 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện","16GB","GPU 10 lõi
Neural Engine 16 lõi
Công nghệ dò tia tốc độ cao bằng phần cứng
Băng thông bộ nhớ 120GB/s","256GB","15.3 inches","2880 x 1864 pixels","Màn hình Liquid Retina
Có đèn nền LED
Mật độ 224 pixel mỗi inch
Độ sáng 500 nit
Hỗ trợ một tỷ màu
Dải màu rộng (P3)
Công nghệ True Tone","Thời gian xem video trực tuyến lên đến 18 giờ
Thời gian duyệt web trên mạng không dây lên đến 15 giờ
Pin Li-Po 66.5 watt‑giờ tích hợp","macOS","Đêm xanh thẳm","28.990.000₫","5 sao/ (2 đánh giá)","Sản phẩm tốt ạ || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Air M4 pin khoẻ thực sự. đổi từ M2 lên thấy khác biệt. chip cũng khoẻ hơn, máy ko bị chậm lag"
"MacBook Pro 14 M5 10CPU 10GPU 32GB 1TB Nano | Chính hãng Apple Việt Nam","Chip Apple M5 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện","32GB","GPU 10 lõi
Neural Engine 16 lõi","1TB","14.2 inches","3024 x 1964 pixels","Màn hình Nano-texture
Liquid Retina XDR
Tỷ lệ tương phản 1.000.000:1
Độ sáng XDR 1.000 nit toàn màn hình, tối đa 1.600 nit (HDR)
SDR 1.000 nit (ngoài trời)
1 tỷ màu
Dải màu rộng (P3)
Công nghệ True Tone
Công nghệ ProMotion","Thời gian xem video trực tuyến lên đến 24 giờ
Thời gian duyệt web trên mạng không dây lên đến 16 giờ
Pin Li-Po 72.4 watt-giờ","macOS","Đen Không Gian","60.360.000₫","",""
